px,py,pz,r11,r12,r13,r21,r22,r23,r31,r32,r33,vx,vy,vz,wx,wy,wz,pxd,pyd,pzd,t1,t2,t3,t4,t5,t6,a1,a2,a3,a4,a5,a6,time
-4.140038967132568,-75.98284149169922,2.4232311248779297,0.9139888286590576,0.4054870009422302,-0.014307158999145031,-0.40560388565063477,0.9122044444084167,-0.05803917348384857,-0.01048307679593563,0.05885019898414612,0.9982118010520935,0.5149770379066467,0.4172009825706482,-0.9716126322746277,0.4096072316169739,-0.4100692570209503,0.3048679828643799,-4.0,-76.0,2.0999999046325684,1.9060133695602417,4.882182598114014,1.9356632232666016,1.421128273010254,5.078847408294678,1.6138354539871216,-0.7436012029647827,-0.2750951051712036,-0.6161876916885376,-0.8094480037689209,-0.32661497592926025,-0.7201611995697021,0.7999993562698364
-4.136776924133301,-75.98171997070312,2.418492078781128,0.9145990014076233,0.40400397777557373,-0.01701384037733078,-0.40427666902542114,0.912731409072876,-0.05900581181049347,-0.008309516124427319,0.06084495782852173,0.9981126189231873,0.5135149359703064,0.4099600315093994,-0.9694375395774841,0.39264488220214844,-0.41891688108444214,0.3220309317111969,-4.0,-76.0,2.0999999046325684,1.9564813375473022,4.844682693481445,1.9981632232666016,1.483628273010254,5.041347503662109,1.6763354539871216,-0.7132929563522339,-0.3327864408493042,-0.6121913194656372,-0.7691543102264404,-0.30771467089653015,-0.694313645362854,0.8049993515014648
-4.133527755737305,-75.98060607910156,2.4137723445892334,0.9152350425720215,0.4024375081062317,-0.01972179114818573,-0.4028744697570801,0.9132943153381348,-0.05988030508160591,-0.006086277309805155,0.0627499595284462,0.9980106949806213,0.5114796757698059,0.40286821126937866,-0.9669803380966187,0.3751521110534668,-0.4270681142807007,0.3392622470855713,-4.0,-76.0,2.0999999046325684,1.9189813137054443,4.807182788848877,2.0606632232666016,1.546128273010254,5.003847599029541,1.7388354539871216,-0.7683987617492676,-0.3630818724632263,-0.5907437801361084,-0.7627853751182556,-0.31419268250465393,-0.7104387283325195,0.8099993467330933
-4.13029146194458,-75.97952270507812,2.409074544906616,0.9158961176872253,0.4007871747016907,-0.02244851179420948,-0.40139734745025635,0.913892388343811,-0.06067025661468506,-0.0038003339432179928,0.06457842886447906,0.9979053735733032,0.5088698863983154,0.3959362208843231,-0.9640709757804871,0.36148932576179504,-0.43885838985443115,0.3565652668476105,-4.0,-76.0,2.0999999046325684,1.9814813137054443,4.8255109786987305,2.1231632232666016,1.508628249168396,4.966347694396973,1.8013354539871216,-0.7041258215904236,-0.30802297592163086,-0.5885763168334961,-0.8308857083320618,-0.3628513216972351,-0.6918216943740845,0.8149993419647217
-4.127071857452393,-75.97844696044922,2.4043991565704346,0.9165817499160767,0.3990529775619507,-0.02519194595515728,-0.3998447060585022,0.9145249128341675,-0.061386529356241226,-0.0014578185509890318,0.06633863598108292,0.9977961182594299,0.5056973099708557,0.3891716003417969,-0.9612181186676025,0.3488380014896393,-0.4477001428604126,0.3737431466579437,-4.0,-76.0,2.0999999046325684,1.9439812898635864,4.788011074066162,2.1856632232666016,1.571128249168396,4.928847789764404,1.7638354301452637,-0.9036593437194824,-0.3788653612136841,-0.48636573553085327,-0.7052873373031616,-0.33793336153030396,-0.8035000562667847,0.8199993371963501
-4.123871803283691,-75.9773941040039,2.399747610092163,0.917290449142456,0.3972374200820923,-0.027941372245550156,-0.3982177972793579,0.915191650390625,-0.06202269718050957,0.0009339755633845925,0.0680195763707161,0.9976835250854492,0.5019854307174683,0.38259878754615784,-0.9577597379684448,0.33315351605415344,-0.4557245671749115,0.3906480073928833,-4.0,-76.0,2.0999999046325684,1.9064812660217285,4.750511169433594,2.2481632232666016,1.633628249168396,4.991347789764404,1.8263354301452637,-0.9119938611984253,-0.40373873710632324,-0.5303310751914978,-0.7149078249931335,-0.26440173387527466,-0.6863621473312378,0.8249993324279785
-4.120691299438477,-75.97635650634766,2.3951215744018555,0.9180207252502441,0.3953419625759125,-0.03070390224456787,-0.3965180814266205,0.9158911108970642,-0.06258505582809448,0.0033789323642849922,0.06962902843952179,0.9975672364234924,0.4977509379386902,0.3762297034263611,-0.9541075825691223,0.320679634809494,-0.4650501608848572,0.40705323219299316,-4.0,-76.0,2.0999999046325684,1.8689812421798706,4.788569927215576,2.3106632232666016,1.596128225326538,4.953847885131836,1.8888354301452637,-0.7980810403823853,-0.31048160791397095,-0.5543287992477417,-0.836045503616333,-0.424192875623703,-0.7076859474182129,0.8299993276596069
-4.1175336837768555,-75.97533416748047,2.3905210494995117,0.9187709093093872,0.39336827397346497,-0.03348831459879875,-0.39474746584892273,0.9166205525398254,-0.06309673935174942,0.005875823553651571,0.07119087129831314,0.9974454045295715,0.4930153489112854,0.3700551688671112,-0.9505164623260498,0.31350669264793396,-0.4734077751636505,0.4228980839252472,-4.0,-76.0,2.0999999046325684,1.8314812183380127,4.851069927215576,2.3731632232666016,1.5586282014846802,4.916347980499268,1.8513354063034058,-0.780457615852356,-0.2736011743545532,-0.49335020780563354,-0.8178757429122925,-0.46404698491096497,-0.7661347389221191,0.8349993228912354
-4.114400386810303,-75.97432708740234,2.38594651222229,0.9195389747619629,0.39131951332092285,-0.03629208356142044,-0.39290863275527954,0.9173779487609863,-0.06356564164161682,0.008419080637395382,0.0727105587720871,0.9973175525665283,0.48780879378318787,0.3640754520893097,-0.9466583728790283,0.30619165301322937,-0.48069876432418823,0.4379410743713379,-4.0,-76.0,2.0999999046325684,1.7939811944961548,4.813570022583008,2.4356632232666016,1.6211282014846802,4.878848075866699,1.9138354063034058,-0.8287835121154785,-0.40888047218322754,-0.5270872712135315,-0.7154272794723511,-0.32878440618515015,-0.6646233797073364,0.8399993181228638
-4.111292362213135,-75.97332000732422,2.3814005851745605,0.9203227758407593,0.3892000615596771,-0.03910621255636215,-0.3910050094127655,0.9181617498397827,-0.0639854446053505,0.011002691462635994,0.07417798787355423,0.9971843361854553,0.4821661412715912,0.35830628871917725,-0.9422398209571838,0.2963673770427704,-0.4868258237838745,0.45214733481407166,-4.0,-76.0,2.0999999046325684,1.7564811706542969,4.7760701179504395,2.4981632232666016,1.6836282014846802,4.928818702697754,1.9763354063034058,-0.8256964683532715,-0.5029283761978149,-0.5823105573654175,-0.7053918242454529,-0.28874433040618896,-0.5722161531448364,0.8449993133544922
