Timestep,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
139,-0.044818,-1.762805,1.469703,-2.617103,-0.498345,1.548692,-2.897300,0.040000,0.039919,-1.543359,0.000046,0.757318,1.113667,0.042328,0.641482,-0.000003,0.000905,0.000988,10.427380,-0.001937,-5.174738,6.085658,1.402837,-5.838972,-0.000116,-0.021350,-0.015132,12.332087,-48.000000,-22.805077,6.335100,-1.350750,-0.674196,-11.680845,-0.111836,0.060963,12.332087,-228.738358,-22.805077,6.335100,-1.350750,-0.674196,-11.680845,-0.111836,0.060963,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
140,-0.073126,-1.762805,1.486750,-2.593700,-0.494882,1.558809,-2.897300,0.040000,0.039930,-1.319287,0.000045,0.646619,1.179344,0.137122,0.556574,-0.000000,0.000574,0.000660,11.687064,-0.001705,-5.212301,2.467966,0.372095,-5.969590,0.000070,-0.019707,-0.026209,12.941604,-48.000000,-23.708168,4.166571,-1.410645,-0.994341,-10.208527,-0.077086,0.054543,12.941604,-227.796722,-23.708168,4.166571,-1.410645,-0.994341,-10.208527,-0.077086,0.054543,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
141,-0.096816,-1.762805,1.501611,-2.569623,-0.489551,1.566606,-2.897300,0.040000,0.039937,-1.079723,0.000044,0.542288,1.182149,0.223019,0.434953,-0.000000,0.000323,0.000341,12.370432,-0.001326,-4.919428,-0.785983,-0.748549,-5.366263,0.000024,-0.016015,-0.031754,13.100958,-48.000000,-24.417103,2.112656,-1.473940,-1.262037,-8.454207,-0.048311,0.061880,13.100958,-227.245010,-24.417103,2.112656,-1.473940,-1.262037,-8.454207,-0.048311,0.061880,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
142,-0.115683,-1.762805,1.514469,-2.546031,-0.482698,1.571612,-2.897300,0.040000,0.039940,-0.834727,0.000042,0.448678,1.131619,0.289187,0.297448,0.000000,0.000164,0.000092,12.561774,-0.000902,-4.458552,-3.505862,-1.923549,-4.112455,0.000086,-0.011071,-0.031388,12.870453,-48.000000,-24.937426,0.286332,-1.542974,-1.460071,-6.506231,-0.027454,0.077351,12.870453,-227.075729,-24.937426,0.286332,-1.542974,-1.460071,-6.506231,-0.027454,0.077351,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
143,-0.129708,-1.762805,1.525564,-2.523870,-0.474817,1.573718,-2.897300,0.040000,0.039940,-0.592928,0.000041,0.367507,1.039834,0.331172,0.159764,0.000000,0.000081,-0.000068,12.329733,-0.000506,-3.936660,-5.572271,-2.930540,-2.514348,0.000091,-0.006691,-0.028272,12.306220,-48.000000,-25.272722,-1.240784,-1.606717,-1.589640,-4.420067,-0.014768,0.093996,12.306220,-227.237701,-25.272722,-1.240784,-1.606717,-1.589640,-4.420067,-0.014768,0.093996,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
144,-0.139019,-1.762805,1.535149,-2.503834,-0.466460,1.573097,-2.897300,0.040000,0.039938,-0.361190,0.000039,0.298639,0.919363,0.347106,0.034029,-0.000001,0.000053,-0.000148,11.757792,-0.000132,-3.427279,-6.964314,-3.686774,-0.808228,-0.000062,-0.003372,-0.023949,11.481344,-48.000000,-25.445055,-2.447828,-1.661809,-1.657062,-2.269058,-0.008662,0.108728,11.481344,-227.654770,-25.445055,-2.447828,-1.661809,-1.657062,-2.269058,-0.008662,0.108728,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
145,-0.143866,-1.762806,1.543454,-2.486384,-0.458234,1.570203,-2.897300,0.040000,0.039935,-0.144670,0.000038,0.240722,0.781425,0.333756,-0.066844,-0.000000,0.000056,-0.000166,10.922011,0.000214,-2.974953,-7.733369,-4.213410,0.838287,0.000132,-0.001229,-0.018504,10.460855,-48.000000,-25.487938,-3.356889,-1.711810,-1.669690,-0.133452,-0.006860,0.121279,10.460855,-228.227097,-25.487938,-3.356889,-1.711810,-1.669690,-0.133452,-0.006860,0.121279,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
146,-0.144589,-1.762806,1.550693,-2.471760,-0.450697,1.565544,-2.889446,0.040000,0.039932,0.052357,0.000038,0.192455,0.636882,0.297676,-0.141418,0.325972,0.000349,-0.000119,9.861195,0.000355,-2.605389,-7.922673,-4.229882,2.320892,-7.519493,0.027392,-0.011383,9.287724,-48.000000,-25.417656,-3.986757,-1.740259,-1.640851,-0.012145,-0.007534,0.130180,9.287724,-228.903549,-25.417656,-3.986757,-1.740259,-1.640851,-0.012145,-0.007534,0.130180,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
147,-0.141541,-1.762806,1.557031,-2.460124,-0.444667,1.559847,-2.875311,0.040000,0.039931,0.233138,0.000036,0.151113,0.483080,0.215103,-0.181421,0.583096,0.000729,0.000132,8.958448,0.000789,-2.367906,-8.194410,-4.412998,3.428719,-13.307333,0.041190,0.014211,8.153446,-48.000000,-25.382605,-4.706501,-1.804708,-1.623987,-0.030225,-0.031665,0.138140,8.153446,-229.502808,-25.382605,-4.706501,-1.804708,-1.623987,-0.030225,-0.031665,0.138140,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
148,-0.135119,-1.762806,1.562546,-2.451509,-0.440146,1.553555,-2.857231,0.040000,0.039933,0.390168,0.000036,0.111745,0.334704,0.151079,-0.207277,0.743004,0.001034,0.000339,7.696474,0.000807,-2.281508,-7.769141,-3.256786,3.782748,-16.899311,0.042683,0.020108,6.802197,-48.000000,-25.296074,-5.113080,-1.778113,-1.597219,-0.040105,-0.060727,0.123085,6.802197,-230.045547,-25.296074,-5.113080,-1.778113,-1.597219,-0.040105,-0.060727,0.123085,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
149,-0.125842,-1.762806,1.567280,-2.445704,-0.436894,1.546886,-2.837761,0.040000,0.039937,0.519313,0.000037,0.074137,0.200980,0.094549,-0.223598,0.797317,0.001163,0.000402,6.253871,0.000925,-2.211651,-6.932489,-2.461267,3.997706,-18.121941,0.032769,0.017957,5.352268,-48.000000,-25.135466,-5.303974,-1.758101,-1.542391,-0.042112,-0.083538,0.108835,5.352268,-230.633835,-25.135466,-5.303974,-1.758101,-1.542391,-0.042112,-0.083538,0.108835,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150,-0.114296,-1.762806,1.571261,-2.442348,-0.434747,1.540050,-2.819036,0.040000,0.039939,0.617732,0.000037,0.037392,0.088681,0.045193,-0.229636,0.763910,0.001118,0.000341,4.685802,0.000984,-2.168444,-5.779775,-1.773944,4.136859,-17.370981,0.018789,0.011673,3.858059,-48.000000,-24.922003,-5.300022,-1.733214,-1.462204,-0.037461,-0.093010,0.102240,3.858059,-231.302567,-24.922003,-5.300022,-1.733214,-1.462204,-0.037461,-0.093010,0.102240,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
151,-0.101102,-1.762806,1.574502,-2.440978,-0.433544,1.533277,-2.802634,0.040000,0.039939,0.684657,0.000037,0.001183,0.001214,0.003092,-0.224534,0.666110,0.000953,0.000217,3.092963,0.001012,-2.123202,-4.472815,-1.182674,4.184811,-15.175158,0.005735,0.005223,2.391414,-48.000000,-24.664761,-5.164849,-1.704526,-1.367237,-0.028285,-0.089614,0.104985,2.391414,-232.052048,-24.664761,-5.164849,-1.704526,-1.367237,-0.028285,-0.089614,0.104985,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
152,-0.086879,-1.762806,1.577019,-2.441099,-0.433119,1.526803,-2.789554,0.040000,0.039937,0.721310,0.000038,-0.034291,-0.061122,-0.031358,-0.208591,0.527780,0.000736,0.000092,1.572728,0.000965,-2.052454,-3.163216,-0.678235,4.111972,-12.064237,-0.003760,0.000719,1.018150,-48.000000,-24.375246,-4.962586,-1.673285,-1.269252,-0.016269,-0.077407,0.114624,1.018150,-232.867783,-24.375246,-4.962586,-1.673285,-1.269252,-0.016269,-0.077407,0.114624,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
