Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,agent_joint_pos_J8,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
193,-0.133264,-3.717181,-0.141202,-1.331619,-0.735525,1.892234,0.356103,1.892261,-0.066595,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919349,0.039974,0.040000,0.010582,-0.000004,0.032977,0.000120,0.205095,-0.000002,-0.019507,-0.000177,0.000014,-0.000218,-0.000001,-0.000075,-0.000002,-0.000137,0.000003,-0.000601,0.000001,0.000001,-0.045319,-53.183235,-0.982006,-32.321091,0.791722,12.000000,0.054207,0.069774,-0.001435,-0.045319,-53.183235,-0.982006,-32.321091,0.791722,18.449335,0.054207,0.069774,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
194,-0.133264,-3.717181,-0.141203,-1.331619,-0.735525,1.892233,0.356103,1.892261,-0.066595,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919350,0.039974,0.040000,0.010579,-0.000004,0.032977,0.000120,0.205095,-0.000002,-0.019517,-0.000177,0.000014,-0.000102,-0.000002,-0.000050,-0.000000,-0.000149,-0.000005,-0.000592,0.000001,-0.000001,-0.045265,-53.183235,-0.982005,-32.321091,0.791718,12.000000,0.054199,0.069774,-0.001435,-0.045265,-53.183235,-0.982005,-32.321091,0.791718,18.449335,0.054199,0.069774,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
195,-0.133264,-3.717182,-0.141203,-1.331619,-0.735525,1.892233,0.356103,1.892261,-0.066596,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919351,0.039974,0.040000,0.010579,-0.000004,0.032976,0.000119,0.205093,-0.000002,-0.019525,-0.000177,0.000014,-0.000004,0.000002,-0.000022,-0.000001,-0.000127,-0.000009,-0.000506,0.000000,0.000001,-0.045221,-53.183254,-0.982013,-32.321091,0.791717,12.000000,0.054196,0.069773,-0.001435,-0.045221,-53.183254,-0.982013,-32.321091,0.791717,18.449333,0.054196,0.069773,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
196,-0.133264,-3.717182,-0.141203,-1.331619,-0.735524,1.892233,0.356103,1.892261,-0.066596,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919351,0.039974,0.040000,0.010580,-0.000004,0.032977,0.000120,0.205094,-0.000002,-0.019533,-0.000177,0.000014,0.000080,0.000001,0.000023,-0.000001,-0.000113,-0.000007,-0.000285,0.000000,0.000001,-0.045183,-53.183254,-0.982013,-32.321072,0.791716,12.000000,0.054198,0.069773,-0.001434,-0.045183,-53.183254,-0.982013,-32.321072,0.791716,18.449333,0.054198,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
197,-0.133264,-3.717182,-0.141204,-1.331619,-0.735524,1.892233,0.356103,1.892261,-0.066597,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919351,0.039974,0.040000,0.010583,-0.000004,0.032978,0.000120,0.205092,-0.000002,-0.019539,-0.000177,0.000014,0.000145,-0.000000,0.000018,0.000002,-0.000159,0.000013,-0.000081,0.000001,0.000001,-0.045148,-53.183254,-0.982015,-32.321072,0.791712,12.000000,0.054201,0.069773,-0.001434,-0.045148,-53.183254,-0.982015,-32.321072,0.791712,18.449335,0.054201,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
198,-0.133264,-3.717182,-0.141204,-1.331619,-0.735524,1.892234,0.356102,1.892261,-0.066597,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919351,0.039974,0.040000,0.010587,-0.000004,0.032979,0.000120,0.205092,-0.000002,-0.019545,-0.000177,0.000014,0.000203,0.000006,0.000075,0.000007,-0.000069,0.000001,0.000009,-0.000000,-0.000001,-0.045127,-53.183273,-0.982008,-32.321091,0.791715,12.000000,0.054200,0.069772,-0.001435,-0.045127,-53.183273,-0.982008,-32.321091,0.791715,18.449335,0.054200,0.069772,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
199,-0.133264,-3.717182,-0.141204,-1.331619,-0.735524,1.892234,0.356102,1.892261,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919351,0.039974,0.040000,0.010591,-0.000004,0.032981,0.000120,0.205093,-0.000002,-0.019548,-0.000177,0.000014,0.000214,-0.000006,0.000063,0.000001,-0.000003,-0.000010,0.000210,0.000000,-0.000001,-0.045116,-53.183273,-0.982017,-32.321110,0.791718,12.000000,0.054206,0.069772,-0.001435,-0.045116,-53.183273,-0.982017,-32.321110,0.791718,18.449352,0.054206,0.069772,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200,-0.133264,-3.717183,-0.141204,-1.331619,-0.735524,1.892234,0.356101,1.892262,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010595,-0.000004,0.032981,0.000120,0.205091,-0.000002,-0.019548,-0.000177,0.000014,0.000220,-0.000001,0.000056,-0.000000,-0.000049,0.000010,0.000302,-0.000000,0.000000,-0.045110,-53.183292,-0.982018,-32.321110,0.791716,12.000000,0.054209,0.069772,-0.001435,-0.045110,-53.183292,-0.982018,-32.321110,0.791716,18.449354,0.054209,0.069772,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
201,-0.133264,-3.717182,-0.141204,-1.331619,-0.735524,1.892234,0.356101,1.892262,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010599,-0.000004,0.032982,0.000120,0.205089,-0.000002,-0.019548,-0.000177,0.000014,0.000213,-0.000003,0.000047,0.000003,-0.000080,-0.000028,0.000301,-0.000000,-0.000001,-0.045110,-53.183292,-0.982018,-32.321110,0.791712,12.000000,0.054210,0.069772,-0.001435,-0.045110,-53.183292,-0.982018,-32.321110,0.791712,18.449352,0.054210,0.069772,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
202,-0.133264,-3.717183,-0.141204,-1.331620,-0.735524,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010604,-0.000004,0.032984,0.000120,0.205090,-0.000002,-0.019550,-0.000177,0.000014,0.000202,-0.000004,0.000068,-0.000002,0.000049,0.000008,0.000318,-0.000002,0.000001,-0.045118,-53.183292,-0.982011,-32.321129,0.791719,12.000000,0.054208,0.069771,-0.001435,-0.045118,-53.183292,-0.982011,-32.321129,0.791719,18.449373,0.054208,0.069771,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
