Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
131,0.987404,0.260509,-0.602083,1.789636,-0.143121,-2.162963,2.891248,0.480711,-0.206210,-0.351956,-2.152095,-0.084637,1.941567,2.196891,0.000103,0.000060,-0.241223,-0.187309,0.248494,0.164447,0.092186,-0.241801,-0.208251,0.000163,-0.000053,5.371105,0.470720,-3.700090,-2.076277,-3.434008,2.124936,4.767852,0.026301,-0.018536,2.020129,-18.057045,3.150744,18.157898,0.547257,2.094612,0.009006,-0.206606,-0.124363,2.020129,-18.057045,3.150744,18.157898,0.547257,2.094612,0.009006,-0.206606,-0.124363,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
132,1.027715,0.347902,-0.554364,1.830390,-0.099729,-2.168148,2.862082,0.474503,-0.208946,-0.344861,-2.150573,-0.074139,1.936993,2.184933,0.000093,0.000070,-0.129720,-0.023973,0.207620,0.272645,0.322901,-0.274570,-0.260317,0.000647,-0.000407,5.298069,4.509447,-2.765190,2.887775,-4.301927,2.338949,6.230354,0.001210,-0.000669,3.829667,-14.548301,4.652898,19.661077,0.792053,2.346759,0.022892,-0.256151,-0.092258,3.829667,-14.548301,4.652898,19.661077,0.792053,2.346759,0.022892,-0.256151,-0.092258,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
133,0.853500,0.235577,-0.700236,1.742871,-0.137586,-2.234553,2.872800,0.470500,-0.210225,-0.339951,-2.149833,-0.075038,1.922969,2.181289,0.000068,0.000092,-0.139990,-0.080553,0.139989,0.092795,-0.015644,-0.525958,-0.079916,0.000784,-0.000473,0.637957,-1.876442,-3.165437,-7.355690,0.287833,6.198749,1.826201,0.018718,-0.015572,-3.063008,-19.154699,-1.410534,15.992783,0.505666,1.704074,0.007546,-0.188469,-0.154859,-3.063008,-19.154699,-1.410534,15.992783,0.505666,1.704074,0.007546,-0.188469,-0.154859,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
134,0.807669,0.159135,-0.725035,1.942038,-0.180102,-2.121523,2.847330,0.465877,-0.211547,-0.338033,-2.151736,-0.086235,1.933484,2.173392,0.000090,0.000075,-0.174613,-0.015530,0.044691,0.216133,-0.309574,0.209188,-0.179542,0.000720,-0.000541,-0.918405,2.456679,-2.996542,6.496059,2.818259,-2.332742,3.937591,-0.011755,0.011917,-4.521153,-22.032080,-2.293847,24.572659,0.614422,2.958507,0.007183,-0.273470,-0.075545,-4.521153,-22.032080,-2.293847,24.572659,0.614422,2.958507,0.007183,-0.273470,-0.075545,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
135,0.971581,0.160455,-0.600216,1.864395,-0.120046,-2.150768,2.853722,0.464297,-0.212251,-0.340197,-2.150373,-0.081435,1.938283,2.170589,0.000077,0.000085,-0.031553,-0.050812,-0.040630,0.222938,0.244671,-0.100474,-0.055260,0.000705,-0.000487,1.628115,-1.089869,0.167021,-0.005801,-0.029084,-4.000258,1.526074,0.010645,-0.008681,1.931244,-22.031317,3.274331,20.970842,1.023782,2.107677,0.018630,-0.213990,-0.128898,1.931244,-22.031317,3.274331,20.970842,1.023782,2.107677,0.018630,-0.213990,-0.128898,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
136,0.982439,0.207057,-0.560369,1.871778,-0.109530,-2.143374,2.867410,0.460456,-0.212994,-0.338261,-2.148448,-0.074090,1.940751,2.172542,0.000078,0.000084,-0.113397,-0.025010,0.105715,0.259648,0.203314,-0.098386,0.044496,0.000885,-0.000632,2.633663,0.567571,-0.117588,1.362221,-4.025221,-1.075930,-1.061935,0.002394,-0.001111,2.941590,-20.082346,4.313260,21.091558,0.722800,2.375268,-0.005747,-0.239393,-0.107256,2.941590,-20.082346,4.313260,21.091558,0.722800,2.375268,-0.005747,-0.239393,-0.107256,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
137,0.999311,0.258801,-0.550578,1.741425,-0.112197,-2.228486,2.872864,0.459009,-0.214145,-0.335600,-2.147666,-0.070592,1.926921,2.174889,0.000062,0.000098,-0.027656,-0.072718,0.119833,0.099284,0.137091,-0.556218,0.051438,0.001068,-0.000734,2.606123,-1.724618,0.175020,-7.218044,-0.646527,5.223076,-1.133308,0.013303,-0.012485,3.502676,-17.925772,4.470842,15.751337,0.712243,1.649035,0.002144,-0.202985,-0.145497,3.502676,-17.925772,4.470842,15.751337,0.712243,1.649035,0.002144,-0.202985,-0.145497,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
138,0.927873,0.203964,-0.619078,1.915240,-0.129385,-2.144819,2.875574,0.460897,-0.214996,-0.334721,-2.149382,-0.072466,1.930945,2.176813,0.000083,0.000080,0.036541,0.003899,0.054708,0.204587,-0.056072,0.027924,0.039064,0.000786,-0.000641,-0.481857,2.699592,0.183475,5.168581,-0.806009,0.141325,-1.094933,-0.020504,0.015866,0.149190,-20.002630,1.832913,23.266399,0.665744,2.848423,-0.009087,-0.279288,-0.073041,0.149190,-20.002630,1.832913,23.266399,0.665744,2.848423,-0.009087,-0.279288,-0.073041,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
139,0.786764,0.120887,-0.735426,1.898013,-0.186917,-2.153410,2.872489,0.460369,-0.214879,-0.333952,-2.147429,-0.086860,1.934731,2.177065,0.000074,0.000086,-0.088170,-0.021831,0.038742,0.249072,-0.347817,-0.063086,0.000380,0.000776,-0.000569,-2.714115,-0.912992,-1.662712,0.389329,6.387950,-1.138311,-0.166884,0.006887,-0.005803,-5.253346,-23.472330,-2.940155,22.030611,0.705048,2.360923,0.003854,-0.218173,-0.123363,-5.253346,-23.472330,-2.940155,22.030611,0.705048,2.360923,0.003854,-0.218173,-0.123363,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
140,0.861761,0.244192,-0.674728,1.837477,-0.130024,-2.191619,2.869536,0.457628,-0.214269,-0.334757,-2.144910,-0.083302,1.929836,2.176339,0.000069,0.000091,-0.099292,0.024339,-0.025005,0.248812,0.216516,-0.322762,-0.011693,0.000964,-0.000698,0.244258,1.041618,-2.066671,-0.766810,0.565105,1.142737,0.510732,0.007910,-0.007484,-1.829489,-18.600565,-0.307356,19.343340,0.882534,2.035003,0.016829,-0.218774,-0.126387,-1.829489,-18.600565,-0.307356,19.343340,0.882534,2.035003,0.016829,-0.218774,-0.126387,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
